tamil,brahmi
வில்லார் விழவினும் வேலாழி சூழுலகில்,𑀯𑀺𑀮𑀺𑀮𑀸𑀭𑀺 𑀯𑀺𑀰𑀯𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀯𑁃𑀮𑀸𑀰𑀺 𑀘𑀽𑀰𑀼𑀮𑀓𑀺𑀮𑀺
நல்லார் விழவகத்தும் நாம்காணேம் நல்லாய்,𑀦𑀮𑀺𑀮𑀸𑀭𑀺 𑀯𑀺𑀰𑀯𑀓𑀢𑀺𑀢𑀼𑀫𑀺 𑀦𑀸𑀫𑀺𑀓𑀸𑀡𑁃𑀫𑀺 𑀦𑀮𑀺𑀮𑀸𑀬𑀺
உவர்கத்து ஒரோஉதவிச் சேர்ப்பன்ஒப் பாரைச்,𑀉𑀯𑀭𑀺𑀓𑀢𑀺𑀢𑀼 𑀒𑀭𑁆𑀉𑀢𑀯𑀺𑀘𑀺 𑀘𑁃𑀭𑀺𑀧𑀺𑀧𑀦𑁆𑀦𑀺𑀒𑀧𑀺 𑀧𑀸𑀭𑁄𑀘𑀺
சுவர்கத்து உளராயின் சூழ்,𑀘𑀼𑀯𑀭𑀺𑀓𑀢𑀺𑀢𑀼 𑀉𑀴𑀭𑀸𑀬𑀺𑀦𑁆𑀦𑀺 𑀘𑀽𑀰𑀺
பாலை,𑀧𑀸𑀮𑁄
நிலம் குறிஞ்சியும் முல்லையும் திரிந்த மணல்வெளி,𑀦𑀺𑀮𑀫𑀺 𑀓𑀼𑀭𑁆𑀭𑀺𑀜𑀺𑀘𑀺𑀬𑀼𑀫𑀺 𑀫𑀼𑀮𑀺𑀮𑁄𑀬𑀼𑀫𑀺 𑀢𑀺𑀭𑀺𑀦𑀺𑀢 𑀫𑀡𑀮𑀺𑀯𑁂𑀴𑀺
ஒழுக்கம் பிரிதலும் பிரிதல் நிமத்தமும்,𑀒𑀰𑀼𑀓𑀺𑀓𑀫𑀺 𑀧𑀺𑀭𑀺𑀢𑀮𑀼𑀫𑀺 𑀧𑀺𑀭𑀺𑀢𑀮𑀺 𑀦𑀺𑀫𑀢𑀺𑀢𑀫𑀼𑀫𑀺
எரிநிற நீள்பிண்டி இணரினம் எல்லாம்,𑀏𑀭𑀺𑀦𑀺𑀭𑁆𑀭 𑀦𑀻𑀴𑀺𑀧𑀺𑀡𑀺𑀝𑀺 𑀇𑀡𑀭𑀺𑀦𑁆𑀦𑀫𑀺 𑀏𑀮𑀺𑀮𑀸𑀫𑀺
வரிநிற நீள்வண்டர் பாடப் புரிநிறநீள்,𑀯𑀭𑀺𑀦𑀺𑀭𑁆𑀭 𑀦𑀻𑀴𑀺𑀯𑀡𑀺𑀝𑀭𑀺 𑀧𑀸𑀝𑀧𑀺 𑀧𑀼𑀭𑀺𑀦𑀺𑀭𑁆𑀭𑀦𑀻𑀴𑀺
பொன்னணிந்த கோங்கம் புணர் முலையாய் பூந்தொடித்தோள்,𑀧𑁅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀡𑀺𑀦𑀺𑀢 𑀓𑁆𑀗𑀺𑀓𑀫𑀺 𑀧𑀼𑀡𑀭𑀺 𑀫𑀼𑀮𑁄𑀬𑀸𑀬𑀺 𑀧𑀽𑀦𑀺𑀢𑁅𑀝𑀺𑀢𑀺𑀢𑁆𑀴𑀺
என்னணிந்த ஈடில் பசப்பு,𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀡𑀺𑀦𑀺𑀢 𑀈𑀝𑀺𑀮𑀺 𑀧𑀘𑀧𑀺𑀧𑀼
பேணாய் இதன்திறத்து என்றாலும் பேணாதே,𑀧𑁃𑀡𑀸𑀬𑀺 𑀇𑀢𑀦𑁆𑀦𑀺𑀢𑀺𑀭𑁆𑀭𑀢𑀺𑀢𑀼 𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀮𑀼𑀫𑀺 𑀧𑁃𑀡𑀸𑀢𑁃
நாணாய நல்வளையாய் நாணிண்மை காணாய்,𑀦𑀸𑀡𑀸𑀬 𑀦𑀮𑀺𑀯𑀴𑁄𑀬𑀸𑀬𑀺 𑀦𑀸𑀡𑀺𑀡𑀺𑀫𑁄 𑀓𑀸𑀡𑀸𑀬𑀺
எரிசிதறி விட்டன்ன ஈர்முருக்கு ஈடில்,𑀏𑀭𑀺𑀘𑀺𑀢𑀭𑁆𑀭𑀺 𑀯𑀺𑀝𑀺𑀝𑀦𑁆𑀦𑀺𑀦𑁆𑀦 𑀈𑀭𑀺𑀫𑀼𑀭𑀼𑀓𑀺𑀓𑀼 𑀈𑀝𑀺𑀮𑀺
பொரிசிதறி விட்டன்ன புன்கு,𑀧𑁅𑀭𑀺𑀘𑀺𑀢𑀭𑁆𑀭𑀺 𑀯𑀺𑀝𑀺𑀝𑀦𑁆𑀦𑀺𑀦𑁆𑀦 𑀧𑀼𑀦𑁆𑀦𑀺𑀓𑀼
தான்தாயாக் கோங்கம் தளர்ந்து முலைகொடுப்ப,𑀢𑀸𑀦𑁆𑀦𑀺𑀢𑀸𑀬𑀸𑀓𑀺 𑀓𑁆𑀗𑀺𑀓𑀫𑀺 𑀢𑀴𑀭𑀺𑀦𑀺𑀢𑀼 𑀫𑀼𑀮𑁄𑀓𑁅𑀝𑀼𑀧𑀺𑀧
ஈன்றாய்நீ பாவை இருங் குரவே ஈன்றாள்,𑀈𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀬𑀺𑀦𑀻 𑀧𑀸𑀯𑁄 𑀇𑀭𑀼𑀗𑀺 𑀓𑀼𑀭𑀯𑁃 𑀈𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀴𑀺
மொழிகாட்டாய் ஆயினும் முள்ளெயிற்றாள் சென்ற,𑀫𑁅𑀰𑀺𑀓𑀸𑀝𑀺𑀝𑀸𑀬𑀺 𑀆𑀬𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀫𑀼𑀴𑀺𑀴𑁂𑀬𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀴𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭
வழிகாட்டாய் ஈதென்று வந்து,𑀯𑀰𑀺𑀓𑀸𑀝𑀺𑀝𑀸𑀬𑀺 𑀈𑀢𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼 𑀯𑀦𑀺𑀢𑀼
வல்வருங் காணாய் வயங்கி முருக்கெல்லாம்,𑀯𑀮𑀺𑀯𑀭𑀼𑀗𑀺 𑀓𑀸𑀡𑀸𑀬𑀺 𑀯𑀬𑀗𑀺𑀓𑀺 𑀫𑀼𑀭𑀼𑀓𑀺𑀓𑁂𑀮𑀺𑀮𑀸𑀫𑀺
செல்வர் சிறார்க்குப்பொற் கொல்லர்போல் நல்ல,𑀘𑁂𑀮𑀺𑀯𑀭𑀺 𑀘𑀺𑀭𑁆𑀭𑀸𑀭𑀺𑀓𑀺𑀓𑀼𑀧𑀺𑀧𑁅𑀭𑁆𑀭𑀺 𑀓𑁅𑀮𑀺𑀮𑀭𑀺𑀧𑁆𑀮𑀺 𑀦𑀮𑀺𑀮
பவளக் கொழுந்தின்மேல் பொற்றாலி பாஅய்த்,𑀧𑀯𑀴𑀓𑀺 𑀓𑁅𑀰𑀼𑀦𑀺𑀢𑀺𑀦𑁆𑀦𑀺𑀫𑁃𑀮𑀺 𑀧𑁅𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀮𑀺 𑀧𑀸𑀅𑀬𑀺𑀢𑀺
திகழக்கான் றிட்டன தேர்ந்து,𑀢𑀺𑀓𑀰𑀓𑀺𑀓𑀸𑀦𑁆𑀦𑀺 𑀭𑁆𑀭𑀺𑀝𑀺𑀝𑀦𑁆𑀦 𑀢𑁃𑀭𑀺𑀦𑀺𑀢𑀼
வெறுக்கைக்குச் சென்றார் விளங்கிழாய் தோன்றார்,𑀯𑁂𑀭𑁆𑀭𑀼𑀓𑀺𑀓𑁄𑀓𑀺𑀓𑀼𑀘𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺 𑀯𑀺𑀴𑀗𑀺𑀓𑀺𑀰𑀸𑀬𑀺 𑀢𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺
பொறுக்கஎன் றால்பொறுக்க லாமோ ஒறுப்பபோல்,𑀧𑁅𑀭𑁆𑀭𑀼𑀓𑀺𑀓𑀏𑀦𑁆𑀦𑀺 𑀭𑁆𑀭𑀸𑀮𑀺𑀧𑁅𑀭𑁆𑀭𑀼𑀓𑀺𑀓 𑀮𑀸𑀫𑁆 𑀒𑀭𑁆𑀭𑀼𑀧𑀺𑀧𑀧𑁆𑀮𑀺
பொன்னுள் உறுபவளம் போன்ற புணர்முருக்கம்,𑀧𑁅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀴𑀺 𑀉𑀭𑁆𑀭𑀼𑀧𑀯𑀴𑀫𑀺 𑀧𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭 𑀧𑀼𑀡𑀭𑀺𑀫𑀼𑀭𑀼𑀓𑀺𑀓𑀫𑀺
என்னுள் உறுநோய் பெரிது,𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀴𑀺 𑀉𑀭𑁆𑀭𑀼𑀦𑁆𑀬𑀺 𑀧𑁂𑀭𑀺𑀢𑀼
சென்றக்கால் செல்லும்வாய் என்னோ இருஞ்சுரத்து,𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀓𑀺𑀓𑀸𑀮𑀺 𑀘𑁂𑀮𑀺𑀮𑀼𑀫𑀺𑀯𑀸𑀬𑀺 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁆 𑀇𑀭𑀼𑀜𑀺𑀘𑀼𑀭𑀢𑀺𑀢𑀼
நின்றக்கால் நீடி ஒளிவிடா நின்ற,𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀓𑀺𑀓𑀸𑀮𑀺 𑀦𑀻𑀝𑀺 𑀒𑀴𑀺𑀯𑀺𑀝𑀸 𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭
இழைக்கமர்ந்த ஏஏர் இளமுலையாள் ஈடில்,𑀇𑀰𑁄𑀓𑀺𑀓𑀫𑀭𑀺𑀦𑀺𑀢 𑀐𑀐𑀭𑀺 𑀇𑀴𑀫𑀼𑀮𑁄𑀬𑀸𑀴𑀺 𑀈𑀝𑀺𑀮𑀺
குழைக்கமர்ந்த நோக்கின் குறிப்பு,𑀓𑀼𑀰𑁄𑀓𑀺𑀓𑀫𑀭𑀺𑀦𑀺𑀢 𑀦𑁆𑀓𑀺𑀓𑀺𑀦𑁆𑀦𑀺 𑀓𑀼𑀭𑁆𑀭𑀺𑀧𑀺𑀧𑀼
அத்தம் நெடிய அழற்கதிரோன் செம்பாகம்,𑀅𑀢𑀺𑀢𑀫𑀺 𑀦𑁂𑀝𑀺𑀬 𑀅𑀰𑀭𑁆𑀭𑀺𑀓𑀢𑀺𑀭𑁆𑀦𑁆𑀦𑀺 𑀘𑁂𑀫𑀺𑀧𑀸𑀓𑀫𑀺
அத்தமறைந் தான்இவ் அணியிழையோடு ஒத்த,𑀅𑀢𑀺𑀢𑀫𑀭𑁆𑀭𑁄𑀦𑀺 𑀢𑀸𑀦𑁆𑀦𑀺𑀇𑀯𑀺 𑀅𑀡𑀺𑀬𑀺𑀰𑁄𑀬𑁆𑀝𑀼 𑀒𑀢𑀺𑀢
தகையினால் எம்சீறூர்த் தங்கினிராய் நாளை,𑀢𑀓𑁄𑀬𑀺𑀦𑁆𑀦𑀸𑀮𑀺 𑀏𑀫𑀺𑀘𑀻𑀭𑁆𑀭𑀽𑀭𑀺𑀢𑀺 𑀢𑀗𑀺𑀓𑀺𑀦𑁆𑀦𑀺𑀭𑀸𑀬𑀺 𑀦𑀸𑀴𑁄
வகையினிராய்ச் சேறல் வனப்பு,𑀯𑀓𑁄𑀬𑀺𑀦𑁆𑀦𑀺𑀭𑀸𑀬𑀺𑀘𑀺 𑀘𑁃𑀭𑁆𑀭𑀮𑀺 𑀯𑀦𑁆𑀦𑀧𑀺𑀧𑀼
நின்நோக்கம் கொண்டமான் தண்குரவ நீழல்காண்,𑀦𑀺𑀦𑁆𑀦𑀺𑀦𑁆𑀓𑀺𑀓𑀫𑀺 𑀓𑁅𑀡𑀺𑀝𑀫𑀸𑀦𑁆𑀦𑀺 𑀢𑀡𑀺𑀓𑀼𑀭𑀯 𑀦𑀻𑀰𑀮𑀺𑀓𑀸𑀡𑀺
பொன்நோக்கம் கொண்டபூங் கோங்கம்காண் பொன் நோக்கம்,𑀧𑁅𑀦𑁆𑀦𑀺𑀦𑁆𑀓𑀺𑀓𑀫𑀺 𑀓𑁅𑀡𑀺𑀝𑀧𑀽𑀗𑀺 𑀓𑁆𑀗𑀺𑀓𑀫𑀺𑀓𑀸𑀡𑀺 𑀧𑁅𑀦𑁆𑀦𑀺 𑀦𑁆𑀓𑀺𑀓𑀫𑀺
கொண்ட சுணங்கணி மென்முலைக் கொம்பன்னாய்,𑀓𑁅𑀡𑀺𑀝 𑀘𑀼𑀡𑀗𑀺𑀓𑀡𑀺 𑀫𑁂𑀦𑁆𑀦𑀺𑀫𑀼𑀮𑁄𑀓𑀺 𑀓𑁅𑀫𑀺𑀧𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀬𑀺
வண்டல் அயர்மணல்மேல் வந்து,𑀯𑀡𑀺𑀝𑀮𑀺 𑀅𑀬𑀭𑀺𑀫𑀡𑀮𑀺𑀫𑁃𑀮𑀺 𑀯𑀦𑀺𑀢𑀼
அஞ்சுடர்நள் வாண்முகத்து ஆயிழையும் மாநிலா,𑀅𑀜𑀺𑀘𑀼𑀝𑀭𑀺𑀦𑀴𑀺 𑀯𑀸𑀡𑀺𑀫𑀼𑀓𑀢𑀺𑀢𑀼 𑀆𑀬𑀺𑀰𑁄𑀬𑀼𑀫𑀺 𑀫𑀸𑀦𑀺𑀮𑀸
வெஞ்சுடர்நீள் வேலானும் போதரக் கண்டு அஞ்சி,𑀯𑁂𑀜𑀺𑀘𑀼𑀝𑀭𑀺𑀦𑀻𑀴𑀺 𑀯𑁃𑀮𑀸𑀦𑁆𑀦𑀼𑀫𑀺 𑀧𑁆𑀢𑀭𑀓𑀺 𑀓𑀡𑀺𑀝𑀼 𑀅𑀜𑀺𑀘𑀺
ஒருசுடரும் இன்றி உலகுபா ழாக,𑀒𑀭𑀼𑀘𑀼𑀝𑀭𑀼𑀫𑀺 𑀇𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀺 𑀉𑀮𑀓𑀼𑀧𑀸 𑀰𑀸𑀓
இருசுடரும் போந்தனஎன் றார்,𑀇𑀭𑀼𑀘𑀼𑀝𑀭𑀼𑀫𑀺 𑀧𑁆𑀦𑀺𑀢𑀦𑁆𑀦𑀏𑀦𑁆𑀦𑀺 𑀭𑁆𑀭𑀸𑀭𑀺
முகந்தா மரைமுறுவல் ஆம்பல்கண் நீலம்,𑀫𑀼𑀓𑀦𑀺𑀢𑀸 𑀫𑀭𑁄𑀫𑀼𑀭𑁆𑀭𑀼𑀯𑀮𑀺 𑀆𑀫𑀺𑀧𑀮𑀺𑀓𑀡𑀺 𑀦𑀻𑀮𑀫𑀺
இகந்தார் விரல்காந்தள் என்றென்று உகந்தியைந்த,𑀇𑀓𑀦𑀺𑀢𑀸𑀭𑀺 𑀯𑀺𑀭𑀮𑀺𑀓𑀸𑀦𑀺𑀢𑀴𑀺 𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼 𑀉𑀓𑀦𑀺𑀢𑀺𑀬𑁄𑀦𑀺𑀢
மாழைமா வண்டிற்காம் நீழல் வருந்தாதே,𑀫𑀸𑀰𑁄𑀫𑀸 𑀯𑀡𑀺𑀝𑀺𑀭𑁆𑀭𑀺𑀓𑀸𑀫𑀺 𑀦𑀻𑀰𑀮𑀺 𑀯𑀭𑀼𑀦𑀺𑀢𑀸𑀢𑁃
ஏழைதான் செல்லும் இனிது,𑀐𑀰𑁄𑀢𑀸𑀦𑁆𑀦𑀺 𑀘𑁂𑀮𑀺𑀮𑀼𑀫𑀺 𑀇𑀦𑁆𑀦𑀺𑀢𑀼
செவ்வாய்க் கரியகண் சீரினால் கேளாதும்,𑀘𑁂𑀯𑀺𑀯𑀸𑀬𑀺𑀓𑀺 𑀓𑀭𑀺𑀬𑀓𑀡𑀺 𑀘𑀻𑀭𑀺𑀦𑁆𑀦𑀸𑀮𑀺 𑀓𑁃𑀴𑀸𑀢𑀼𑀫𑀺
கவ்வையால் காணாதும் ஆற்றாதும் அவ் வாயம்,𑀓𑀯𑀺𑀯𑁄𑀬𑀸𑀮𑀺 𑀓𑀸𑀡𑀸𑀢𑀼𑀫𑀺 𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀢𑀼𑀫𑀺 𑀅𑀯𑀺 𑀯𑀸𑀬𑀫𑀺
தார்த்தத்தை வாய்மொழியும் தண்கயத்து நீலமும்,𑀢𑀸𑀭𑀺𑀢𑀺𑀢𑀢𑀺𑀢𑁄 𑀯𑀸𑀬𑀺𑀫𑁅𑀰𑀺𑀬𑀼𑀫𑀺 𑀢𑀡𑀺𑀓𑀬𑀢𑀺𑀢𑀼 𑀦𑀻𑀮𑀫𑀼𑀫𑀺
ஓர்த்தொழிந்தாள் என்பேதை ஊர்ந்து,𑀓𑀭𑀺𑀢𑀺𑀢𑁅𑀰𑀺𑀦𑀺𑀢𑀸𑀴𑀺 𑀏𑀦𑁆𑀦𑀺𑀧𑁃𑀢𑁄 𑀊𑀭𑀺𑀦𑀺𑀢𑀼
புன்புறவே சேவலோடு ஊடல் பொருளன்றால்,𑀧𑀼𑀦𑁆𑀦𑀺𑀧𑀼𑀭𑁆𑀭𑀯𑁃 𑀘𑁃𑀯𑀮𑁆𑀝𑀼 𑀊𑀝𑀮𑀺 𑀧𑁅𑀭𑀼𑀴𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀮𑀺
அன்புறவே உடையார் ஆயினும் வன்புற்று,𑀅𑀦𑁆𑀦𑀺𑀧𑀼𑀭𑁆𑀭𑀯𑁃 𑀉𑀝𑁄𑀬𑀸𑀭𑀺 𑀆𑀬𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀯𑀦𑁆𑀦𑀺𑀧𑀼𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼
அதுகாண் அகன்ற வழிநோக்கிப் பொன்போர்த்து,𑀅𑀢𑀼𑀓𑀸𑀡𑀺 𑀅𑀓𑀦𑁆𑀦𑀺𑀭𑁆𑀭 𑀯𑀰𑀺𑀦𑁆𑀓𑀺𑀓𑀺𑀧𑀺 𑀧𑁅𑀦𑁆𑀦𑀺𑀧𑁆𑀭𑀺𑀢𑀺𑀢𑀼
இதுகாண்என் வண்ணம் இனி,𑀇𑀢𑀼𑀓𑀸𑀡𑀺𑀏𑀦𑁆𑀦𑀺 𑀯𑀡𑀺𑀡𑀫𑀺 𑀇𑀦𑁆𑀦𑀺
எரிந்து சுடும்இரவி ஈடில் கதிரான்,𑀏𑀭𑀺𑀦𑀺𑀢𑀼 𑀘𑀼𑀝𑀼𑀫𑀺𑀇𑀭𑀯𑀺 𑀈𑀝𑀺𑀮𑀺 𑀓𑀢𑀺𑀭𑀸𑀦𑁆𑀦𑀺
விரிந்து விடுகூந்தல் வெகாப் புரிந்து,𑀯𑀺𑀭𑀺𑀦𑀺𑀢𑀼 𑀯𑀺𑀝𑀼𑀓𑀽𑀦𑀺𑀢𑀮𑀺 𑀯𑁂𑀓𑀸𑀧𑀺 𑀧𑀼𑀭𑀺𑀦𑀺𑀢𑀼
விடுகயிற்றின் மாசுணம் வீயும்நீள் அத்தம்,𑀯𑀺𑀝𑀼𑀓𑀬𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀦𑁆𑀦𑀺 𑀫𑀸𑀘𑀼𑀡𑀫𑀺 𑀯𑀻𑀬𑀼𑀫𑀺𑀦𑀻𑀴𑀺 𑀅𑀢𑀺𑀢𑀫𑀺
அடுதிறலான் பின் சென்ற ஆறு,𑀅𑀝𑀼𑀢𑀺𑀭𑁆𑀭𑀮𑀸𑀦𑁆𑀦𑀺 𑀧𑀺𑀦𑁆𑀦𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭 𑀆𑀭𑁆𑀭𑀼
நெஞ்சம் நினைப்பினும் நெற்பொரியும் நீளத்தம்,𑀦𑁂𑀜𑀺𑀘𑀫𑀺 𑀦𑀺𑀦𑁆𑀦𑁄𑀧𑀺𑀧𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀦𑁂𑀭𑁆𑀭𑀺𑀧𑁅𑀭𑀺𑀬𑀼𑀫𑀺 𑀦𑀻𑀴𑀢𑀺𑀢𑀫𑀺
அஞ்சல் எனஆற்றின் அஞ்சிற்றால் அஞ்சப்,𑀅𑀜𑀺𑀘𑀮𑀺 𑀏𑀦𑁆𑀦𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀦𑁆𑀦𑀺 𑀅𑀜𑀺𑀘𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀮𑀺 𑀅𑀜𑀺𑀘𑀧𑀺
புடைநெடும் காதுறப் போழ்ந்தகன்று நீண்ட,𑀧𑀼𑀝𑁄𑀦𑁂𑀝𑀼𑀫𑀺 𑀓𑀸𑀢𑀼𑀭𑁆𑀭𑀧𑀺 𑀧𑁆𑀰𑀺𑀦𑀺𑀢𑀓𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼 𑀦𑀻𑀡𑀺𑀝
படைநெடுங்கண் கொண்ட பனி,𑀧𑀝𑁄𑀦𑁂𑀝𑀼𑀗𑀺𑀓𑀡𑀺 𑀓𑁅𑀡𑀺𑀝 𑀧𑀦𑁆𑀦𑀺
வந்தால்தான் செல்லாமோ வாரிடையாய் வார்கதிரால்,𑀯𑀦𑀺𑀢𑀸𑀮𑀺𑀢𑀸𑀦𑁆𑀦𑀺 𑀘𑁂𑀮𑀺𑀮𑀸𑀫𑁆 𑀯𑀸𑀭𑀺𑀝𑁄𑀬𑀸𑀬𑀺 𑀯𑀸𑀭𑀺𑀓𑀢𑀺𑀭𑀸𑀮𑀺
வெந்தாற்போல் தோன்றும்நீள் வேய்அத்தம் தந்தார்,𑀯𑁂𑀦𑀺𑀢𑀸𑀭𑁆𑀭𑀺𑀧𑁆𑀮𑀺 𑀢𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀫𑀺𑀦𑀻𑀴𑀺 𑀯𑁃𑀬𑀺𑀅𑀢𑀺𑀢𑀫𑀺 𑀢𑀦𑀺𑀢𑀸𑀭𑀺
தகரக் குழல்புரளத் தாழ்துகில்கை யேந்தி,𑀢𑀓𑀭𑀓𑀺 𑀓𑀼𑀰𑀮𑀺𑀧𑀼𑀭𑀴𑀢𑀺 𑀢𑀸𑀰𑀺𑀢𑀼𑀓𑀺𑀮𑀺𑀓𑁄 𑀬𑁃𑀦𑀺𑀢𑀺
மகரக் குழைமறித்த நோக்கு,𑀫𑀓𑀭𑀓𑀺 𑀓𑀼𑀰𑁄𑀫𑀭𑁆𑀭𑀺𑀢𑀺𑀢 𑀦𑁆𑀓𑀺𑀓𑀼
ஒருகை இருமருப்பின் மும்மதமால் யானை,𑀒𑀭𑀼𑀓𑁄 𑀇𑀭𑀼𑀫𑀭𑀼𑀧𑀺𑀧𑀺𑀦𑁆𑀦𑀺 𑀫𑀼𑀫𑀺𑀫𑀢𑀫𑀸𑀮𑀺 𑀬𑀸𑀦𑁆𑀦𑁄
பருகுநீர் பைஞ்சுனையில் காணாது அருகல்,𑀧𑀭𑀼𑀓𑀼𑀦𑀻𑀭𑀺 𑀧𑁄𑀜𑀺𑀘𑀼𑀦𑁆𑀦𑁄𑀬𑀺𑀮𑀺 𑀓𑀸𑀡𑀸𑀢𑀼 𑀅𑀭𑀼𑀓𑀮𑀺
வழிவிலங்கி வீழும் வரைஅத்தம் சென்றார்,𑀯𑀰𑀺𑀯𑀺𑀮𑀗𑀺𑀓𑀺 𑀯𑀻𑀰𑀼𑀫𑀺 𑀯𑀭𑁄𑀅𑀢𑀺𑀢𑀫𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺
அழிவிலர் ஆக அவர்,𑀅𑀰𑀺𑀯𑀺𑀮𑀭𑀺 𑀆𑀓 𑀅𑀯𑀭𑀺
சென்றார் வருதல் செறிதொடி சேய்த்தன்றால்,𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺 𑀯𑀭𑀼𑀢𑀮𑀺 𑀘𑁂𑀭𑁆𑀭𑀺𑀢𑁅𑀝𑀺 𑀘𑁃𑀬𑀺𑀢𑀺𑀢𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀮𑀺
நின்றார்சொல் தேறாதாய் நீடின்றி வென்றார்,𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺𑀘𑁅𑀮𑀺 𑀢𑁃𑀭𑁆𑀭𑀸𑀢𑀸𑀬𑀺 𑀦𑀻𑀝𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀺 𑀯𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺
எடுத்த கொடியின் இலங்கருவி தோன்றும்,𑀏𑀝𑀼𑀢𑀺𑀢 𑀓𑁅𑀝𑀺𑀬𑀺𑀦𑁆𑀦𑀺 𑀇𑀮𑀗𑀺𑀓𑀭𑀼𑀯𑀺 𑀢𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀫𑀺
கடுத்த மலைநாடு காண்,𑀓𑀝𑀼𑀢𑀺𑀢 𑀫𑀮𑁄𑀦𑀸𑀝𑀼 𑀓𑀸𑀡𑀺
உருவேற் கண்ணாய் ஒரு கால்தேர்ச் செல்வன்,𑀉𑀭𑀼𑀯𑁃𑀭𑁆𑀭𑀺 𑀓𑀡𑀺𑀡𑀸𑀬𑀺 𑀒𑀭𑀼 𑀓𑀸𑀮𑀺𑀢𑁃𑀭𑀺𑀘𑀺 𑀘𑁂𑀮𑀺𑀯𑀦𑁆𑀦𑀺
வெருவிவீந்து உக்கநீள் அத்தம் வருவர்,𑀯𑁂𑀭𑀼𑀯𑀺𑀯𑀻𑀦𑀺𑀢𑀼 𑀉𑀓𑀺𑀓𑀦𑀻𑀴𑀺 𑀅𑀢𑀺𑀢𑀫𑀺 𑀯𑀭𑀼𑀯𑀭𑀺
சிறந்து பொருள்தருவான் சேட்சென்றார் இன்றே,𑀘𑀺𑀭𑁆𑀭𑀦𑀺𑀢𑀼 𑀧𑁅𑀭𑀼𑀴𑀺𑀢𑀭𑀼𑀯𑀸𑀦𑁆𑀦𑀺 𑀘𑁃𑀝𑀺𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺 𑀇𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁃
இறந்துகண் ஆடும் இடம்,𑀇𑀭𑁆𑀭𑀦𑀺𑀢𑀼𑀓𑀡𑀺 𑀆𑀝𑀼𑀫𑀺 𑀇𑀝𑀫𑀺
